id;businessId;username;rating;comment
404;4;bookworm29;4;Alpine Books has a wide variety of books. I always find something interesting.
405;5;fashionista;3;Le Paquier Boutique has trendy clothes, but the prices are a bit high.
406;6;breadLover;5;Beinwil Bakery has the best bread in town. Always fresh and delicious!
407;7;shopper101;4;Surrein Groceries has a good selection, but sometimes the shelves are not well-stocked.
408;8;gourmetGuy;5;Schmitten Delicatessen offers high-quality products. I love their cheese selection.
409;9;techSavvy;4;Vermol's Electronics has all the latest gadgets. Their customer service could improve, though.
410;10;artLover;5;Meiringen Art Gallery always showcases beautiful artworks. It's a great place to visit.
411;11;pageTurner;4;Habkern Books is a cozy bookstore with a nice selection. I love their reading nooks.
412;12;groceryGuru;3;Engelberg Groceries is okay, but I've seen better supermarkets.
413;13;cafeAddict;5;Hinterrhein Café has great coffee and pastries. It's my go-to spot!
414;14;earlyBird;4;Saxon Bakery has delicious baked goods. They could improve the variety a bit.
415;15;fashionForward;4;Bürglen Fashion has chic and stylish clothes. The service is decent too.
416;16;giftHunter;5;Sta. Maria Val Müstair Gifts is the perfect place to find unique gifts. Love it!
417;17;handyMan;3;Frasco Hardware is average. The store could use a bit more organization.
418;18;techie;4;Sudern Electronics Store has a good range of products. The staff is helpful.
419;19;flowerPower;5;Schongau Flowers is my favorite florist. They have the freshest and most beautiful flowers.
420;20;toyLover;4;Gadmen Toys has a great selection of toys. My kids love coming here.
421;1;JohnDoe123;4;Great atmosphere, loved the coffee! Will visit again.
422;2;MountainMan;5;Excellent gear and friendly staff. Highly recommended for hiking enthusiasts.
423;3;FlowerLover;3;Good selection of flowers, but a bit pricey.
424;4;Bookworm;5;Amazing collection of books, cozy place to read!
425;5;Fashionista;4;Trendy clothing but limited sizes available.
426;6;BreadLover22;5;The best bakery in town! Fresh bread every day.
427;7;Shopper123;3;Decent grocery selection but could improve on fresh produce.
428;8;FoodieGal;5;Delicious delicacies, will definitely return!
429;9;TechGuru;4;Good range of electronics, knowledgeable staff.
430;10;ArtLover;5;Beautiful art pieces, a hidden gem for art enthusiasts.
431;11;ReaderGal;4;Cozy bookstore with a nice selection of books.
432;12;GroceryGuru;3;Convenient location but a bit expensive.
433;13;CafeLover;4;Lovely little cafe with great coffee and snacks.
434;14;BreadFan;5;Amazing bakery, fantastic pastries.
435;15;FashionablyLate;3;Nice fashion but a bit overpriced.
436;16;GiftGiver;4;Great selection of gifts, lovely service.
437;17;HardwareExpert;5;Affordable and durable hardware supplies.
438;18;ElectroFanatic;4;Good electronics store, knowledgeable staff.
439;19;FlowerFan;5;Beautiful arrangements and friendly service.
440;20;ToyLover;4;Great toy shop, kids loved it!
441;1;coffee_lover89;5;Sunrise Cafe has the best coffee in town! The ambiance is very relaxing.
442;2;mountain_man;4;Great selection of gear for hiking and mountaineering. Prices are reasonable too.
443;3;flower_fanatic;5;Beautiful flowers and exceptional customer service at Greifensee Flowers.
444;4;bookworm34;3;Decent selection of books, but the store is a bit small.
445;5;fashionista22;4;Lovely boutique with unique clothing. A bit pricey but worth it.
446;6;bakery_enthusiast;5;The pastries at Beinwil Bakery are to die for! Fresh and delicious.
447;7;grocery_guru;4;Good selection of groceries at Surrein Groceries. Friendly staff.
448;8;deli_dude;5;Amazing variety of cheeses and cured meats. Highly recommend Schmitten Delicatessen.
449;9;tech_geek;3;Decent electronics but the prices are a bit on the higher side.
450;10;art_lover;5;Beautiful art pieces and a pleasant visit at the Meiringen Art Gallery.
451;11;avid_reader91;4;Habkern Books has a great collection of literature and helpful staff.
452;12;shopper123;3;Engelberg Groceries is convenient but can be crowded at times.
453;13;cafe_addict;5;Hinterrhein Café has the best cappuccino I’ve ever had!
454;14;bread_fan;4;Saxon Bakery offers delicious bread but it closes quite early.
455;15;style_seeker;4;Nice clothing selection at Bürglen Fashion. Found some great pieces.
456;16;gift_giver;4;Sta. Maria Val Müstair Gifts has a wide variety of unique gifts.
457;17;diy_fanatic;3;Frasco Hardware has good tools but limited variety.
458;18;tech_savvy;4;Sudern Electronics offers great products but customer service could improve.
459;19;floral_fan;5;Schongau Flowers has stunning arrangements and helpful staff.
460;20;toy_enthusiast;3;Gadmen Toys has great options for kids but the store is a bit cluttered.
